LabNo,CollectionSquare,HouseholdUnits,Residential Zone,Period,Vesselsform,Group,Ba,Zr,Sr,Rb,Zn,Ni,Fe,Mn,Ti,Ca,K
DLH672,0034A,S017,S,Hongshan,Tongxingqi,G1,888.09,350.46,156.26,82.46,59.45,108.87,48036.11,974.23,2881.79,5882.4,13503.02
DLH018,2007B,E208,E,Xiaoheyan,Indeterminate,G4,823.57,332.95,173.96,55.5,73.79,1065.23,49072.6,500.26,4270.1,8905.74,12984.63
DLH019,2012B,E206,E,Xiaoheyan,Indeterminate,G4,1254.79,273.67,292.95,89.48,80.56,515.12,39664.5,731.91,2466.97,8754.63,13488.84
DLH024,2023B,E203,E,Xiaoheyan,Indeterminate,G2,1143.25,283.28,272.87,92.44,66.1,462.74,34959.69,629.64,2158.55,8181.35,16014.41
DLH374,2029A,E201,E,Xiaoheyan,Indeterminate,G4,1216.24,324.41,139.85,89.51,59.47,126.35,42100.3,1213.02,3200.36,6103.53,17221.99
DLH375,2038B,E201,E,Xiaoheyan,Indeterminate,G4,985.37,286.75,108.13,77.88,63.09,117.41,41153.7,606.43,2711.36,5970.84,12430.71
DLH376,2038B,E201,E,Xiaoheyan,Indeterminate,G4,930.56,297.9,152.41,72.87,61.97,82.23,42389.76,892.2,3580.22,7081.69,13855.51
DLH377,2038B,E201,E,Xiaoheyan,Indeterminate,G4,1602.31,379.92,227.07,76.12,76.85,136.11,49747.17,984.51,3659.03,6148.54,18243.22
DLH378,2036B,E201,E,Xiaoheyan,Indeterminate,G4,905.33,305.96,119.73,87.5,73.6,68.3,46295.89,829.92,2878.71,6832.08,12567.22
DLH379,2036B,E201,E,Xiaoheyan,Indeterminate,G4,1285.21,293.94,129.74,82.48,64.08,121.2,43225.4,772.92,2854.56,7436,12237.18
DLH380,2037B,E201,E,Xiaoheyan,Indeterminate,G4,992.4,323.67,133.23,73.78,47.67,110.9,46429.58,752.7,2730.34,7410.82,11210.44
DLH381,2037B,E201,E,Xiaoheyan,Indeterminate,G4,683.37,306.59,138.16,74.61,46.52,72.14,41145.85,446.22,2861.19,5541.03,11875.4
DLH382,2037B,E201,E,Xiaoheyan,Indeterminate,G4,1178.03,337.22,125.36,92.03,51.63,132.23,43018.4,1285.18,4036.15,5944.46,16666.91
DLH383,2037B,E201,E,Xiaoheyan,Indeterminate,G4,1125.61,259.9,118.35,90.36,62.38,119.27,39762.84,688.34,3333.82,6595.98,15570.43
DLH455,2021B,E203,E,Xiaoheyan,Indeterminate,G4,1082.83,277.96,195.72,101.31,55.6,89.01,29605.94,723.9,2348.66,7115.55,20888.45
DLH456,2021B,E203,E,Xiaoheyan,Indeterminate,G4,1176.7,273.56,253.51,80.29,62.52,94.8,33965.95,533.75,2758.54,8553,16116.2
DLH457,2025B,E203,E,Xiaoheyan,Indeterminate,G4,953.77,351.19,136.35,107.94,73.61,113.5,43347.73,903.84,3505.18,6635,16241.18
DLH458,2024B,E203,E,Xiaoheyan,Indeterminate,G4,951.55,331.84,123.79,75.67,66.2,119.58,49540.88,648.54,3880.39,7561.48,15746.54
DLH459,2024B,E203,E,Xiaoheyan,Indeterminate,G4,1200.8,287.02,214.39,94.13,63.74,113.62,41755.27,992.56,3357.35,6113.91,15004.16
DLH460,2023B,E203,E,Xiaoheyan,Indeterminate,G4,1505.4,276.13,297.21,77.58,81.42,102.78,35529.3,442.18,2624.83,8752.16,15073.19
DLH461,2023B,E203,E,Xiaoheyan,Indeterminate,G4,1278.15,278.22,203.58,92.39,52.98,135.08,39445.7,791.09,3198.18,7671.51,16354.18
DLH462,2023B,E203,E,Xiaoheyan,Indeterminate,G4,1172.35,291.37,145.5,88.78,62.03,120.38,44895.11,1220.73,3047.09,7655.02,13344.59
DLH463,2023B,E203,E,Xiaoheyan,Indeterminate,G4,1172.35,291.37,145.5,88.78,62.03,120.38,44895.11,1220.73,3047.09,7655.02,13344.59
DLH464,2023B,E203,E,Xiaoheyan,Indeterminate,G4,1216.26,306.79,132.26,82.56,42.11,128.94,43750.6,624.67,3088.82,6722.55,13036.27
DLH465,2028B,E203,E,Xiaoheyan,Guan,G4,955.18,299.45,175.2,76.63,65.07,98.6,42619.99,948.72,3083.5,11979.28,12585.13
DLH466,2019B,E203,E,Xiaoheyan,Indeterminate,G4,1253.26,324.33,181.08,85.19,57.58,124.36,43671.88,897.05,2557.61,8228.26,11630.5
DLH467,2019B,E203,E,Xiaoheyan,Indeterminate,G4,1135.56,315.08,152,82.92,50.54,119.95,39971.27,1022.2,2733.23,6883.42,10991.49
DLH468,2028A,E203,E,Xiaoheyan,Indeterminate,G4,1191.83,309.35,172.53,85.39,56.36,121.73,41077.96,821.94,3321.48,8410.58,14377.1
DLH469,2025A,E203,E,Xiaoheyan,Indeterminate,G4,1048.03,299.93,176.91,93.15,55.18,98.96,35241.58,615.96,2548.25,8706.22,20680.59
DLH505,2055B,E207,E,Xiaoheyan,Indeterminate,G4,942.95,292.67,149.22,82.53,67.89,128.34,47396.2,676.63,3366.96,7777.57,14594.83
DLH506,2055B,E207,E,Xiaoheyan,Indeterminate,G4,986.45,325.29,139.23,81.42,66.35,128.79,43129.24,585.87,3810.65,7617.79,15159.64
DLH507,2054B,E207,E,Xiaoheyan,Guan,G4,1072.75,300.03,173.78,77.71,69.08,125.72,45000.9,718.37,3904.66,8482.36,13998.78
DLH508,2054B,E207,E,Xiaoheyan,Guan,G4,1219.86,295.96,164.64,85.55,60.39,227.42,45909.66,810.26,3781.54,7735.37,15794.82
DLH509,2054B,E207,E,Xiaoheyan,Indeterminate,G4,1133.18,354.53,161.64,86.76,46.97,255.62,38299.75,1227.15,4210.44,6199.78,17001.14
DLH510,2057B,E207,E,Xiaoheyan,Indeterminate,G4,1115.61,300.83,174.13,87.71,76.19,83.92,40701.17,874.47,3440.21,9720.23,14522.97
DLH511,2057B,E207,E,Xiaoheyan,Indeterminate,G4,1055.19,312.86,154.51,81.34,49.84,108.88,42549.88,943.69,4087.39,7843.28,15884.73
DLH512,2060B,E207,E,Xiaoheyan,Indeterminate,G4,883.49,334.79,164.71,81.54,53.07,92.96,36641.73,498.95,3253.86,7491.25,13467.19
DLH513,2060B,E207,E,Xiaoheyan,Indeterminate,G4,1089.35,344.01,145.4,89.51,49.8,212.03,39562.88,819.81,3281.33,6974.33,14954.34
DLH514,2060B,E207,E,Xiaoheyan,Indeterminate,G4,1089.35,344.01,145.4,89.51,49.8,212.03,39562.88,819.81,3281.33,6974.33,14954.34
DLH552,2001B,E208,E,Xiaoheyan,Indeterminate,G4,1166.34,328.8,158.36,83.31,43.6,108.55,40282.98,1152.48,3572.37,6574.66,14192
DLH553,2003B,E208,E,Xiaoheyan,Indeterminate,G4,1235.46,296.58,252.44,75.23,61.07,127.95,40391.85,967.29,3513.32,8847.72,16661.31
DLH554,2005B,E208,E,Xiaoheyan,Indeterminate,G4,1167.11,321.42,310.23,71.49,69.62,115.57,48597.54,876.62,2417.04,8623.52,12333.94
DLH555,2006B,E208,E,Xiaoheyan,Indeterminate,G4,1259.55,321.13,183.38,84.27,63.73,135.98,44207.34,863.02,3081.72,8608.42,15726.72
DLH556,2009A,E208,E,Xiaoheyan,Indeterminate,G4,1399.72,300.71,138.76,110.53,47.53,143.53,35689.88,901.03,3022.1,5768.89,17261.17
DLH557,2005A,E208,E,Xiaoheyan,Indeterminate,G4,1073.82,376.46,173.27,80.74,64.38,112.53,47041.55,709.83,2709.41,6057.25,9951.09
DLH558,2010A,E208,E,Xiaoheyan,Indeterminate,G4,1083.55,293.79,265.07,75.58,52.47,81.77,37525.08,772.03,2578,8106.72,13025.63
DLH559,2010A,E208,E,Xiaoheyan,Indeterminate,G4,973.28,303.15,155.82,78.78,63.36,105.77,43511.55,827.09,3243.65,8187.51,13081.57
DLH560,2010A,E208,E,Xiaoheyan,Indeterminate,G4,1215.17,317.27,155.11,82.54,65.32,108.59,43170.98,1141.01,3471,7325.14,14753.82
DLH561,2010B,E208,E,Xiaoheyan,Indeterminate,G4,1241.85,317.2,161.96,84.39,58.39,117.64,39567.34,624.16,2789.49,6702.77,12575.76
