CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Diocletian 439,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",286|293
RIC V Diocletian 438,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",286
RIC V Diocletian 437,Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Hercules, standing right, leaning on club with lion's skin on rock",286
RIC V Diocletian 436,Jupiter|Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, left, holding club and lion's skin",Maximian,Gallia,"Jupiter, standing right, holding sceptre or globe in right hand and clasping hand of Hercules; Hercules, standing left, holding club and lion's skin",285
RIC V Diocletian 435,Jupiter|Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, left, holding club and lion's skin",Maximian,Gallia,"Jupiter, standing right, holding sceptre in right hand and clasping hand of Hercules; Hercules, standing left, holding club and lion's skin",285
RIC V Diocletian 434,Jupiter|Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right",Maximian,Gallia,"Jupiter, standing right, holding sceptre in right hand and clasping hand of Hercules; Hercules, standing left, holding club and lion's skin",285
RIC V Diocletian 433,Jupiter|Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, left, holding club and lion's skin",Maximian,Gallia,"Jupiter, standing right, holding sceptre in right hand and clasping hand of Hercules; Hercules, standing left, holding club and lion's skin",288
RIC V Diocletian 432,Jupiter|Hercules,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, right, or bust of Maximian, radiate, draped, cuirassed, right",Maximian,Gallia,"Jupiter, standing right, holding sceptre in right hand and clasping hand of Hercules; Hercules, standing left, holding club and lion's skin",285
RIC V Diocletian 431,,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Maximian, draped, cuirassed, standing left, holding Victory on globe in right hand and sceptre in left hand",295
RIC V Diocletian 430,Victory,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Victory, winged, draped, walking or running left, holding wreath in right hand and palm in left hand",290
RIC V Diocletian 429,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right",Maximian,Gallia,"Securitas, draped, standing right or left, raising right hand to head and leaning on column with left elbow",295
RIC V Diocletian 428,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Maximian,Gallia,"Securitas, draped, standing right or left, raising right hand to head and leaning on column with left elbow",290
RIC V Diocletian 427,Securitas,Antoninianus,Silver,Lugdunum,"Bust of Maximian, radiate, draped, cuirassed, right, or bust of Maximian, radiate, cuirassed, right, or bust of Maximian, radiate, wearing imperial mantle, left, sometimes holding eagle-tipped scetpre in right hand",Maximian,Gallia,"Securitas, draped, standing right or left, raising right hand to head and leaning on column with left elbow",291
