CoinId,Deity,Denomination,Material,Mint,FrontDescription,Portrait,Region,BackDescription,Year
RIC V Carus 294,,Antoninianus,Silver,Ticinum,"Bust of Carinus, radiate, draped, right or bust of Carinus, radiate, draped, cuirassed, right",Carinus,Italy,"Carinus, draped, cuirassed, riding left, raising right hand and holding spear in left hand",283|285
RIC V Carus 293,Victory,Aureus,Gold,Ticinum,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|285
RIC V Carus 292,Felicitas,Aureus,Gold,Ticinum,"Bust of Carinus, laureate, cuirassed, left",Carinus,Italy,"Felicitas, draped, standing left, leaning on column, holding caduceus in right hand; crossing legs",283|285
RIC V Carus 291,Hercules,Semis,Bronze,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|285
RIC V Carus 290,,Semis,Bronze,Rome,"Bust of Carinus, laureate, draped, right",Carinus,Italy,"Carinus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",283|285
RIC V Carus 289,Pax,Semis,Bronze,Rome,"Bust of Carinus, laureate, draped, cuirassed, right, or bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 288,,As,Bronze,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Carinus, draped, cuirassed, standing right, holding spear in right hand and globe in left hand",283|285
RIC V Carus 287,,As,Bronze,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Carinus, draped, cuirassed, riding right, riding down enemy",283|285
RIC V Carus 286,Victory,As,Bronze,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|285
RIC V Carus 285,Pax,As,Bronze,Rome,"Bust of Carinus, laureate, draped, cuirassed, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 284,Hercules,Quinarius,Silver,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|285
RIC V Carus 283,,Quinarius,Silver,Rome,"Bust of Carinus, laureate, draped, right, or bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",283|285
RIC V Carus 282,,Quinarius,Silver,Rome,"Bust of Carinus, laureate, draped, right",Carinus,Italy,"Soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",283|285
RIC V Carus 281,Victory,Quinarius,Silver,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|285
RIC V Carus 280,Victory,Quinarius,Silver,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|285
RIC V Carus 279,Mercury,Quinarius,Silver,Rome,"Bust of Carinus, laureate, draped, right",Carinus,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|285
RIC V Carus 278,Pax,Quinarius,Silver,Rome,"Bust of Carinus, laureate, draped, right, or bust of Carinus, laureate, draped, cuirassed, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 277,Pax,Quinarius,Silver,Rome,"Bust of Carinus, laureate, draped, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 276,Pax,Quinarius,Silver,Rome,"Bust of Carinus, laureate, draped, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 275,Victory,Denarius,Silver,Rome,"Bust of Carinus, laureate, cuirassed, right",Carinus,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|285
RIC V Carus 274,Pax,Denarius,Silver,Rome,"Bust of Carinus, laureate, draped, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 273,Pax,Denarius,Silver,Rome,"Bust of Carinus, laureate, draped, cuirassed, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 272,Hercules,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, cuirassed, right",Carinus,Italy,"Hercules, standing right, leaning on club with right hand and holding bow and lion's skin in left hand",283|285
RIC V Carus 271,Hercules,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, cuirassed, right",Carinus,Italy,"Hercules, standing right, leaning on club with right hand and holding bow and lion's skin in left hand",283|285
RIC V Carus 270,Mars,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, right",Carinus,Italy,"Mars, walking right, holding spear in right hand and shield in left hand",283|285
RIC V Carus 269,Hercules,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, right",Carinus,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|285
RIC V Carus 268,Hercules,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, right",Carinus,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|285
RIC V Carus 267,,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, cuirassed, right",Carinus,Italy,"Carinus, draped, cuirassed, standing left, holding ensign in right hand and sceptre in left hand",283|285
RIC V Carus 266,,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, right, or bust of Carinus, radiate, cuirassed, right",Carinus,Italy,"Pontifical instruments, variously arranged",283|285
RIC V Carus 265,Mercury,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, right",Carinus,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|285
RIC V Carus 264,Mercury,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, draped, right, or bust of Carinus, radiate, cuirassed, right",Carinus,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|285
RIC V Carus 263,Pax,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, cuirassed, right",Carinus,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|285
RIC V Carus 262,Sol,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, cuirassed, right",Carinus,Italy,"Sol, standing or walking right or left, raising right hand and holding whip or globe in left hand",283|285
RIC V Carus 261,Laetitia,Antoninianus,Silver,Rome,"Bust of Carinus, radiate, cuirassed, right",Carinus,Italy,"Laetitia, draped, standing left, holding wreath in right hand and rudder in left hand",283|285
RIC V Carus 461,,Antoninianus,Silver,Siscia,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian|Carinus,Pannonia,"Numerian and Carinus, draped, standing facing each other, sacrificing at altar; behind, two ensigns",283|284
RIC V Carus 460,Fides,Antoninianus,Silver,Siscia,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, draped, cuirassed, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Pannonia,"Fides, draped, seated left between three ensigns, holding patera in right hand",283|284
RIC V Carus 459,Victory,Aureus,Gold,Siscia,"Bust of Numerian, laureate, cuirassed, right",Numerian,Pannonia,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|284
RIC V Carus 458,Victory,Aureus,Gold,Siscia,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right",Numerian,Pannonia,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|284
RIC V Carus 457,Roma,Aureus,Gold,Siscia,"Bust of Numerian, laureate, draped, right",Numerian,Pannonia,"Roma, helmeted, draped, seated left on shield, holding wreath in right hand and sceptre in left hand",283|284
RIC V Carus 456,Spes,Aureus,Gold,Siscia,"Bust of Numerian, laureate, cuirassed, right",Numerian,Pannonia,"Spes, draped, walking left, holding flower in right hand and raising robe with left hand",283|284
RIC V Carus 455,Spes,Aureus,Gold,Siscia,"Bust of Numerian, laureate, draped, cuirassed, right",Numerian,Pannonia,"Spes, draped, walking left, holding flower in right hand and raising robe with left hand",283|284
RIC V Carus 454,Sol,Aureus,Gold,Siscia,"Bust of Numerian, laureate, draped, cuirassed, right",Numerian,Pannonia,"Sol, standing left, raising right hand and holding globe in left hand",283|284
RIC V Carus 452,Abundantia,Aureus,Gold,Siscia,"Bust of Numerian, laureate, cuirassed, right",Numerian,Pannonia,"Abundantia, draped, standing left, emptying cornucopiae",283|284
RIC V Carus 451,Abundantia,Aureus,Gold,Siscia,"Bust of Numerian, laureate, cuirassed, right",Numerian,Pannonia,"Abundantia, draped, standing left, emptying cornucopiae",283|284
RIC V Carus 450,Securitas,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Securitas, draped, standing left, raising right hand to head and leaning on column with left arm; crossing legs",283|284
RIC V Carus 449,Roma,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Roma, helmeted, draped, seated left on shield, holding Victory in right hand and sceptre in left hand",283|284
RIC V Carus 448,Providentia,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Providentia, draped, standing left, holding ears of corn in right hand and sceptre in left hand; at foot, modius",283|284
RIC V Carus 446,Providentia,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Providentia, draped, standing left, holding ears of corn in right hand and sceptre in left hand; at foot, modius",283|284
RIC V Carus 445,,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding baton in right hand and sceptre in left hand",283|284
RIC V Carus 444,,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding baton in right hand and sceptre in left hand",283|284
RIC V Carus 443,Victory,Aureus,Gold,Ticinum,"Bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left; behind, Victory, standing left, crowning him; before him, a kneeling and a standing captive",283|284
RIC V Carus 442,Victory,Aureus,Gold,Ticinum,"Bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|284
RIC V Carus 441,Victory,Aureus,Gold,Ticinum,"Bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Victory, winged, draped, walking left, holding wreath in right hand and palm in left hand",283|284
RIC V Carus 440,Pax,As,Bronze,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 439,Hercules,Quinarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|284
RIC V Carus 438,Venus,Quinarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Venus, draped, standing left, holding apple in right hand and raising robe on shoulder with left hand",283|284
RIC V Carus 437,Mercury,Quinarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 436,Mercury,Quinarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 435,Pax,Quinarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Pax, draped, running left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 434,Abundantia,Quinarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Abundantia, draped, standing left, emptying cornucopiae",283|284
RIC V Carus 433,,Denarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",283|284
RIC V Carus 432,,Denarius,Silver,Rome,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, helmeted, cuirassed, left, holding spear in right hand and shield in left hand",Numerian|Carinus,Italy,"Carus and Numerian, draped, cuirassed, riding right, raising right hands",283|284
RIC V Carus 431,Pax,Denarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Pax, draped, walking left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 430,Pax,Denarius,Silver,Rome,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Pax, draped, running left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 429,Sol,Denarius,Silver,Rome,"Bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Sol, standing right, raising right hand and holding globe in left hand",283|284
RIC V Carus 428,Sol,Denarius,Silver,Rome,"Bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Sol, standing left, raising right hand and holding globe in left hand",283|284
RIC V Carus 427,,Denarius,Silver,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Numerian, draped, riding right in quadriga",283
RIC V Carus 426,,Antoninianus,Silver,Rome,"Head of Numerian, radiate, right",Numerian,Italy,Altar,284|285
RIC V Carus 425,,Antoninianus,Silver,Rome,"Head of Numerian, radiate, right",Numerian,Italy,"Eagle, standing front, head left",284|285
RIC V Carus 424,,Antoninianus,Silver,Rome,"Head of Numerian, sometimes radiate, right",Numerian,Italy,"Eagle, standing front, head left",284|285
RIC V Carus 423,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right, or bust of Numerian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and sceptre in left hand; sometimes on either side, captive",283|284
RIC V Carus 422,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and sceptre in left hand; sometimes on either side, captive",283|284
RIC V Carus 421,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and sceptre in left hand",283|284
RIC V Carus 420,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding baton in right hand and sceptre or spear in left hand",283|284
RIC V Carus 419,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding baton in right hand and sceptre or spear in left hand",283|284
RIC V Carus 418,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding baton in right hand and sceptre or spear in left hand",283|284
RIC V Carus 417,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right or bust of Numerian, radiate, draped, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and spear in left hand",283|284
RIC V Carus 416,Mercury,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 415,Mercury,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 414,Mercury,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 413,Mercury,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 412,Sol,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right or bust of Numerian, radiate, draped, cuirassed, right",Numerian,Italy,"Sol, walking left, raising right hand and holding globe in left hand",283|284
RIC V Carus 411,Sol,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Sol, walking left, raising right hand and holding globe in left hand",283|284
RIC V Carus 410,Jupiter,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, draped, cuirassed, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; at foot, eagle",283|284
RIC V Carus 409,Jupiter,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, draped, cuirassed, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Jupiter, standing left, holding Victory on globe in right hand and sceptre in left hand; at foot, eagle",283|284
RIC V Carus 408,Hercules,Aureus,Gold,Rome,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right",Numerian,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|284
RIC V Carus 407,Hercules,Aureus,Gold,Rome,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right, or bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Hercules, standing right, leaning on club with lion's skin on rock",283|284
RIC V Carus 406,Venus,Aureus,Gold,Rome,"Bust of Numerian, laureate, draped, right",Numerian,Italy,"Venus, draped, standing left, holding Victory in right hand and apple in left hand",283|284
RIC V Carus 405,Venus,Aureus,Gold,Rome,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right, or bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Venus, draped, standing left, holding Victory in right hand and apple in left hand",283|284
RIC V Carus 404,Salus,Aureus,Gold,Rome,"Bust of Numerian, laureate, cuirassed, right",Numerian,Italy,"Salus, draped, seated left, feeding snake rising from altar",283|284
RIC V Carus 403,Mercury,Aureus,Gold,Rome,"Bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Mercury, standing left, holding purse in right hand and caduceus in left hand",283|284
RIC V Carus 402,Mars,Aureus,Gold,Rome,"Bust of Numerian, laureate, draped, cuirassed, right",Numerian,Italy,"Mars, walking left, holding olive-branch in right hand and spear in left hand",283|284
RIC V Carus 401,Victory,Medallion,Gold,Rome,"Bust of Numerian, diademed, cuirassed, left, holding horse and spear",Numerian,Italy,"Numerian, draped, cuirassed, riding on horseback, attacking six enemies, being crowned by two Victories",283|284
RIC V Carus 400,,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right",Numerian,Gallia,"Soldier, draped, cuirassed, standing left, leaning on shield with right hand and holding spear in left hand",283|284
RIC V Carus 399,,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right",Numerian,Gallia,"Numerian, draped, cuirassed, galloping right, riding down and spearing enemy",283|284
RIC V Carus 398,,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right",Numerian,Gallia,"Numerian, draped, cuirassed, galloping right, riding down and spearing two enemies",283|284
RIC V Carus 397,Pietas,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right, sometimes holding spear",Numerian,Gallia,"Pietas, draped, standing right, raising right hand, holding box of perfumes or globe in left hand; before her, altar",283|284
RIC V Carus 396,Pietas,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right",Numerian,Gallia,"Pietas, draped, standing right, raising right hand, holding box of perfumes or globe in left hand; before her, altar",283|284
RIC V Carus 395,Pax,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right, holding spear, or bust of Numerian, radiate, cuirassed, left, holding spear in right hand and shield in left hand",Numerian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 394,Pax,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right, sometimes holding spear, or bust of Numerian, radiate, cuirassed, left, holding spear in right hand and sometimes shield in left hand",Numerian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 393,Pax,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right or bust of Numerian, radiate, draped, cuirassed, right",Numerian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 392,Pax,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 391,Pax,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right",Numerian,Gallia,"Pax, draped, standing left, holding olive-branch in right hand and sceptre in left hand",283|284
RIC V Carus 390,,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, right",Numerian,Gallia,"Numerian, draped, cuirassed, standing right, holding spear in right hand and shield in left hand, attacking fallen enemy",283|284
RIC V Carus 389,Mars,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, left, holding spear in right hand and shield in left hand",Numerian,Gallia,"Mars, walking right, holding spear in right hand and trophy in left hand",283|284
RIC V Carus 388,Mars,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right, sometimes holding spear, or bust of Numerian, radiate, cuirassed, left, holding spear in right hand and shield in left hand",Numerian,Gallia,"Mars, walking right, holding spear in right hand and trophy in left hand",283|284
RIC V Carus 387,Mars,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, cuirassed, left, holding spear in right hand and shield in left hand",Numerian,Gallia,"Mars, walking right, holding spear in right hand and trophy in left hand",283|284
RIC V Carus 386,Mars,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right",Numerian,Gallia,"Mars, walking right, holding spear in right hand and trophy in left hand",283|284
RIC V Carus 385,Felicitas,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, helmeted, cuirassed, left, holding spear in right hand and shield in left hand",Numerian,Gallia,"Felicitas, draped, standing left, leaning on column, holding caduceus in right hand and sceptre in left hand",283|284
RIC V Carus 384,Felicitas,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right, or bust of Numerian, radiate, cuirassed, left, holding spear or sceptre in right hand and shield in left hand",Numerian,Gallia,"Felicitas, draped, standing left, leaning on column, holding caduceus in right hand and sceptre in left hand",283|284
RIC V Carus 383,Aequitas,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, draped, right",Numerian,Gallia,"Aequitas, draped, standing left, holding scales in right hand and cornucopiae in left hand",283|284
RIC V Carus 382,Aequitas,Antoninianus,Silver,Lugdunum,"Bust of Numerian, radiate, wearing imperial mantle, left, holding eagle-tipped scetpre in right hand",Numerian,Gallia,"Aequitas, draped, standing left, holding scales in right hand and cornucopiae in left hand",283|284
RIC V Carus 381,Sol,Aureus,Gold,Lugdunum,"Bust of Numerian, laureate, cuirassed, right",Numerian,Gallia,"Sol, standing left, raising right hand and holding globe in left hand",283|284
RIC V Carus 380,Jupiter,Antoninianus,Silver,Tripolis,"Bust of Numerian, radiate, draped, right",Numerian,Phoenicia,"Numerian, draped, cuirassed, standing right, holding sceptre in right hand and receiving globe from Jupiter or Carus standing left, holding sceptre",282|283
RIC V Carus 379,Jupiter,Antoninianus,Silver,Antioch,"Bust of Numerian, radiate, draped, right",Numerian,Syria,"Numerian, draped, cuirassed, standing right, holding sceptre in right hand and receiving Victory on globe from Jupiter or Carus standing left, holding sceptre",282|283
RIC V Carus 378,Jupiter,Antoninianus,Silver,Antioch,"Bust of Numerian, radiate, draped, right",Numerian,Syria,"Numerian, draped, cuirassed, standing right, holding sceptre in right hand and receiving Victory on globe from Jupiter or Carus standing left, holding sceptre",282|283
RIC V Carus 377,Jupiter,Antoninianus,Silver,Antioch,"Bust of Numerian, radiate, draped, right",Numerian,Syria,"Numerian, draped, cuirassed, standing right, holding sceptre in right hand and receiving Victory on globe from Jupiter or Carus standing left, holding sceptre",282|283
RIC V Carus 376,Jupiter,Antoninianus,Silver,Antioch,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Syria,"Numerian, draped, cuirassed, standing right, holding sceptre in right hand and receiving globe from Jupiter or Carus standing left, holding sceptre",282|283
RIC V Carus 375,Hercules,Aureus,Gold,Antioch,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right",Numerian,Syria,"Hercules, standing right, leaning on club with lion's skin on rock",282|283
RIC V Carus 374,Victory,Aureus,Gold,Antioch,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right",Numerian,Syria,"Victory, winged, draped, walking right, holding wreath in right hand and palm in left hand",282|283
RIC V Carus 373,Sol,Aureus,Gold,Antioch,"Bust of Numerian, laureate, draped, right, head of Numerian, laureate, right",Numerian,Syria,"Sol, standing left, raising right hand and holding globe in left hand",282|283
RIC V Carus 372,Jupiter,Antoninianus,Silver,Cyzicus,"Bust of Numerian, radiate, draped, right",Numerian,Mysia,"Numerian, draped, cuirassed, standing right, holding sceptre in right hand and receiving Victory on globe from Jupiter or Carus, standing left, holding sceptre",282|283
RIC V Carus 371,Victory,Aureus,Gold,Cyzicus,"Bust of Numerian, laureate, draped, right, or bust of Numerian, laureate, draped, cuirassed, right",Numerian,Mysia,"Victory, winged, draped, galloping left in biga",282|283
RIC V Carus 370,,Antoninianus,Silver,Siscia,"Bust of Numerian, radiate, draped, right",Numerian,Pannonia,"Numerian, draped, cuirassed, standing left, holding branch in right hand and sceptre in left hand",282|283
RIC V Carus 369,,Aureus,Gold,Siscia,"Bust of Numerian, laureate, draped, cuirassed, right",Numerian,Pannonia,"Numerian, draped, cuirassed, standing left, holding branch in right hand and sceptre in left hand",282|283
RIC V Carus 368,,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing or walking left, holding ensign in right hand and spear in left hand; behind, two ensigns",282|283
RIC V Carus 367,,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing or walking left, holding baton in right hand and sceptre in left hand; behind, two ensigns",282|283
RIC V Carus 366,,Antoninianus,Silver,Ticinum,"Bust of Numerian, radiate, draped, right or bust of Numerian, radiate, draped, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing or walking left, holding baton in right hand and sceptre in left hand",282|283
RIC V Carus 365,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and sceptre in left hand",282|283
RIC V Carus 364,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and sceptre in left hand",282|283
RIC V Carus 363,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right, or bust of Numerian, radiate, draped, cuirassed, right, or bust of Numerian, radiate, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding globe in right hand and sceptre in left hand",282|283
RIC V Carus 362,,Antoninianus,Silver,Rome,"Bust of Numerian, radiate, draped, right or bust of Numerian, radiate, draped, cuirassed, right",Numerian,Italy,"Numerian, draped, cuirassed, standing left, holding baton in right hand and sceptre in left hand",282|283
