date,avgLandTemp
1/1/12,3.157
2/1/12,3.628
3/1/12,6.023
4/1/12,9.676
5/1/12,12.59
6/1/12,14.492
7/1/12,15.076
8/1/12,14.72
9/1/12,13.04
10/1/12,10.428
11/1/12,7.156
12/1/12,4.102
1/1/13,3.685
2/1/13,4.222
3/1/13,6.261
4/1/13,9.044
5/1/13,12.195
6/1/13,14.568
7/1/13,15.003
8/1/13,14.742
9/1/13,13.154
10/1/13,10.256
11/1/13,7.424
12/1/13,4.724
1/1/14,3.732
2/1/14,3.5
3/1/14,6.378
4/1/14,9.589
5/1/14,12.582
6/1/14,14.335
7/1/14,14.873
8/1/14,14.875
9/1/14,13.091
10/1/14,10.33
11/1/14,6.713
12/1/14,4.85
1/1/15,3.881
2/1/15,4.664
3/1/15,6.74
4/1/15,9.313
5/1/15,12.312
6/1/15,14.505
7/1/15,15.051
8/1/15,14.755
9/1/15,12.999
10/1/15,10.801
11/1/15,7.433
12/1/15,5.518
